service_id,service_name,barcode,price_total,works_names,works_prices,works_totals,item_names,item_articles,item_brands,item_quantities,item_prices,item_totals
54416160,"ТО-1 (cwva 90,110) 15- (polo, rapid) масло Кастрол",2400000000174,12801.0,"[""Защита двигателя, с/у"", ""Масло моторное + фильтр масл., замена"", ""Фильтр воздушный, с/у"", ""Фильтр салона, с/у (без разбора пер. ящика)"", ""Осмотр ходовой части и составление листа осмотра ( 1р - Акция!)""]","[""500.0"", ""1150.0"", ""570.0"", ""550.0"", ""1.0""]","[""500.0"", ""1150.0"", ""570.0"", ""550.0"", ""1.0""]","[""Пробка сливная CWVA VAG"", ""Фильтр масляный CWVA VW Polo седан, MANN"", ""Фильтр воздушный CWVA 1,6 TSN 911732"", ""Фильтр салона угольный, антибактериальный для VW Polo седан, RAF FILTER"", ""Кольцо уплотнительное шайба CWVA VAG"", ""Масло моторное синтетическое Castrol MAGNATEC 5W-40 (разл., 0,1л)15C9DD""]","[""N90288901"", ""W 712/95"", ""911732"", ""RSTC004VO"", ""N0138157"", ""15C9DD""]","[""VAG"", ""MANN-FILTER"", ""TSN"", ""raf"", ""VAG"", ""Castrol""]","[""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""40.0""]","[""480.0"", ""1750.0"", ""640.0"", ""1350.0"", ""290.0"", ""138.0""]","[""480.0"", ""1750.0"", ""640.0"", ""1350.0"", ""290.0"", ""5520.0""]"
54416239,"ТО-1 (cwva 90,110) 15- (polo, rapid) масло Лукойл",2400000000181,10081.0,"[""Осмотр ходовой части и составление листа осмотра ( 1р - Акция!)"", ""Защита двигателя, с/у"", ""Масло моторное + фильтр масл., замена"", ""Фильтр воздушный, с/у"", ""Фильтр салона, с/у (без разбора пер. ящика)""]","[""1.0"", ""500.0"", ""1150.0"", ""570.0"", ""550.0""]","[""1.0"", ""500.0"", ""1150.0"", ""570.0"", ""550.0""]","[""Кольцо уплотнительное шайба CWVA VAG"", ""Пробка сливная CWVA VAG"", ""Фильтр масляный CWVA VW Polo седан, MANN"", ""Фильтр воздушный CWVA 1,6 TSN 911732"", ""Фильтр салона угольный, антибактериальный для VW Polo седан, RAF FILTER"", ""Масло Genesis Special Advanced 5W-40 LUKOIL (разл., 0,1л) 1644761""]","[""N0138157"", ""N90288901"", ""W 712/95"", ""911732"", ""RSTC004VO"", ""1644761""]","[""VAG"", ""VAG"", ""MANN-FILTER"", ""TSN"", ""raf"", ""LUKOIL""]","[""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""40.0""]","[""290.0"", ""480.0"", ""1750.0"", ""640.0"", ""1350.0"", ""70.0""]","[""290.0"", ""480.0"", ""1750.0"", ""640.0"", ""1350.0"", ""2800.0""]"
54742735,"ТО-2 (cfna 105) 10-15 (polo, rapid) масло Кастрол.",2400000000259,20575.0,"[""Осмотр ходовой части и составление листа осмотра ( 1р - Акция!)"", ""Масло моторное + фильтр масл., замена"", ""Защита двигателя, с/у"", ""Фильтр салона, с/у (без разбора пер. ящика)"", ""Фильтр воздушный, с/у"", ""Свеча зажигания (4 шт), с/у"", ""Фильтр топливный, с/у""]","[""1.0"", ""1150.0"", ""500.0"", ""550.0"", ""570.0"", ""1250.0"", ""870.0""]","[""1.0"", ""1150.0"", ""500.0"", ""550.0"", ""570.0"", ""1250.0"", ""870.0""]","[""Масло моторное синтетическое Castrol MAGNATEC 5W-40 (разл., 0,1л)15C9DD"", ""Фильтр масляный для VW Polo (СFN) MANN"", ""Фильтр воздушный CFN VW Polo седан, FORTECH"", ""Фильтр салона угольный, антибактериальный для VW Polo седан, RAF FILTER"", ""Пробка сливная картера для VW Polo седан, VAG"", ""Фильтр топливный с регулятором давления 4.0 Bar для VW Polo седан, UFI"", ""Свеча зажигания VW Polo седан, Bosch 0242236565""]","[""15C9DD"", ""W 712/94"", ""FA087"", ""RSTC004VO"", ""N90813202"", ""31.833.00"", ""0242236565""]","[""Castrol"", ""MANNFILTER"", ""Fortech"", ""raf"", ""VAG"", ""UFI"", ""Bosch""]","[""38.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""4.0""]","[""138.0"", ""1750.0"", ""850.0"", ""1350.0"", ""360.0"", ""2850.0"", ""820.0""]","[""5244.0"", ""1750.0"", ""850.0"", ""1350.0"", ""360.0"", ""2850.0"", ""3280.0""]"
54742820,"ТО-2 (cfna 105) 10-15 (polo, rapid) масло Лукойл",2400000000235,17990.0,"[""Масло моторное + фильтр масл., замена"", ""Защита двигателя, с/у"", ""Фильтр салона, с/у (без разбора пер. ящика)"", ""Фильтр воздушный, с/у"", ""Свеча зажигания (4 шт), с/у"", ""Фильтр топливный, с/у""]","[""1150.0"", ""500.0"", ""550.0"", ""570.0"", ""1250.0"", ""870.0""]","[""1150.0"", ""500.0"", ""550.0"", ""570.0"", ""1250.0"", ""870.0""]","[""Фильтр масляный для VW Polo (СFN) MANN"", ""Фильтр воздушный CFN VW Polo седан, FORTECH"", ""Фильтр салона угольный, антибактериальный для VW Polo седан, RAF FILTER"", ""Пробка сливная картера для VW Polo седан, VAG"", ""Фильтр топливный с регулятором давления 4.0 Bar для VW Polo седан, UFI"", ""Свеча зажигания VW Polo седан, Bosch 0242236565"", ""Масло Genesis Special Advanced 5W-40 LUKOIL (разл., 0,1л) 1644761""]","[""W 712/94"", ""FA087"", ""RSTC004VO"", ""N90813202"", ""31.833.00"", ""0242236565"", ""1644761""]","[""MANNFILTER"", ""Fortech"", ""raf"", ""VAG"", ""UFI"", ""Bosch"", ""LUKOIL""]","[""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""4.0"", ""38.0""]","[""1750.0"", ""850.0"", ""1350.0"", ""360.0"", ""2850.0"", ""820.0"", ""70.0""]","[""1750.0"", ""850.0"", ""1350.0"", ""360.0"", ""2850.0"", ""3280.0"", ""2660.0""]"
54416298,"ТО-2 (cwva 90,110) 15- (polo, rapid) масло Лукойл",2400000000198,19651.0,"[""Осмотр ходовой части и составление листа осмотра ( 1р - Акция!)"", ""Защита двигателя, с/у"", ""Масло моторное + фильтр масл., замена"", ""Фильтр воздушный, с/у"", ""Фильтр салона, с/у (без разбора пер. ящика)"", ""Свеча зажигания (4 шт), с/у"", ""Фильтр топливный, с/у""]","[""1.0"", ""500.0"", ""1150.0"", ""570.0"", ""550.0"", ""1250.0"", ""870.0""]","[""1.0"", ""500.0"", ""1150.0"", ""570.0"", ""550.0"", ""1250.0"", ""870.0""]","[""Кольцо уплотнительное шайба CWVA VAG"", ""Пробка сливная CWVA VAG"", ""Фильтр масляный CWVA VW Polo седан, MANN"", ""Фильтр воздушный CWVA 1,6 TSN 911732"", ""Фильтр салона угольный, антибактериальный для VW Polo седан, RAF FILTER"", ""Фильтр топливный с регулятором давления 4.0 Bar для VW Polo седан, UFI"", ""Свеча зажигания CWVA 1,6 BOSCH"", ""Масло Genesis Special Advanced 5W-40 LUKOIL (разл., 0,1л) 1644761""]","[""N0138157"", ""N90288901"", ""W 712/95"", ""911732"", ""RSTC004VO"", ""31.833.00"", ""0 241 135 520"", ""1644761""]","[""VAG"", ""VAG"", ""MANN-FILTER"", ""TSN"", ""raf"", ""UFI"", ""Bosch"", ""LUKOIL""]","[""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""4.0"", ""40.0""]","[""290.0"", ""480.0"", ""1750.0"", ""640.0"", ""1350.0"", ""2850.0"", ""1150.0"", ""70.0""]","[""290.0"", ""480.0"", ""1750.0"", ""640.0"", ""1350.0"", ""2850.0"", ""4600.0"", ""2800.0""]"
56479094,"Колесо R12-15, с/у, монтаж/демонтаж резины, балансировка, комплект",,3000.0,[],[],[],[],[],[],[],[],[]
56479101,"Колесо R16, с/у, монтаж/демонтаж резины, балансировка, комплект.",,3200.0,[],[],[],[],[],[],[],[],[]
56479111,"Колесо R17, с/у, монтаж/демонтаж резины, балансировка, комплект.",,3600.0,[],[],[],[],[],[],[],[],[]
56479162,"Колесо R18, с/у, монтаж/демонтаж резины, балансировка, комплект.",,4100.0,[],[],[],[],[],[],[],[],[]
56479276,"Колесо R19, с/у, монтаж/демонтаж резины, балансировка, комплект.",,4800.0,[],[],[],[],[],[],[],[],[]
